siteID,taxRegistration,name,address,city,state,zip,employees,production,engineers,prod0,prod15,prod20,prod30,eng0,eng10,eng15,eng20,eng30
1,173005221,Cascade Gasket & Manufacturing Company,7100 Fort Dent Way Ste 280,Tukwila,WA,98188,160,104,5,79,14,11,0,0,0,1,4,0
2,173005665,Protective Coating ,1208 4th Ave N,Kent,WA,98032,291,208,2,133,54,21,0,0,0,0,0,2
3,177006487,Renton Coil Spring Company,425 S 7th st,Renton,WA,98057,63,40,3,0,18,18,4,0,0,0,1,2
4,177006653,Aero Plastics ,903 Houser Way North,Renton,WA,98057,37,28,0,4,12,9,3,0,0,0,0,0
5,177007507,Harper Engineering Company,700 SW 7TH STREET,Renton,WA,98057,67,54,6,31,14,7,2,0,0,1,1,4
6,178005030,The Boeing Company (Auburn),700 15th st sw,Auburn,WA,98001,5948,3713,506,37,557,446,2636,0,0,0,15,491
7,178005030,The Boeing Company (Everett),3003 w casino rd,Everett,WA,98024,37661,18754,8616,0,3376,4501,10877,0,0,0,86,8530
8,178005030,The Boeing Company (Puyallup),18001 CANYON RD E,Puyallup,WA,98375,1701,1220,111,12,232,110,866,0,0,0,2,109
9,178005030,The Boeing Company (Renton),800 Logan Ave North,Renton,WA,98055,12132,6024,2337,0,723,1084,4217,0,0,0,23,2314
10,178005030,The Boeing Company (Seattle/Tukwila),7755 e marginal way S,Seattle,WA,98108,11706,3090,4045,0,185,402,2503,0,0,0,40,4005
11,278000680,Globe Machine Manufacturing Company,701 E 'D' ST,Tacoma,WA,98401,132,72,17,7,16,46,3,0,0,0,5,12
12,278034781,Precision Machine Works ,2024 Puyallup Ave,Tacoma,WA,98421,192,145,9,0,42,86,17,0,0,0,2,7
13,278036069,General Plastics Manufacturing Company,PO Box 9097,Tacoma,WA,98409,175,119,6,24,71,18,6,0,0,0,5,1
14,278047588,Tool-Gauge & Machine Works ,4336 S. Adams St,Tacoma,WA,98409,99,84,0,44,7,23,11,0,0,0,0,0
15,313000744,ABW Technologies ,6720 191st PL NE,Arlington,WA,98233,71,64,0,0,64,0,0,0,0,0,0,0
16,409000756,Goodrich Corporation (Carbon Operations),11135 W. Westbow Lane,Spokane,WA,99224,160,99,22,30,40,30,0,0,0,2,10,11
17,409003290,Alcoa ,6200 Malaga Alcoa Highway,Malaga,WA,98828,482,358,3,0,0,301,57,0,0,0,0,3
18,409021238,Pacific Metallurgical ,925 5th Ave S,Kent,WA,98032,71,54,0,20,21,8,5,0,0,0,0,0
19,578015454,GM Nameplate ,2040 15th Ave W,Seattle,WA,98119,487,335,58,127,117,67,23,0,0,3,28,27
20,578028756,Vaupell Industrial Plastics ,1144 NW 53rd St,Seattle,WA,98107,332,265,17,164,82,16,5,0,0,1,5,11
21,578064829,AvtechTyee ,6500 Merrill Creek Parkway,Everett,WA,98203,336,204,37,35,75,82,12,0,0,0,4,33
22,578076709,Pacific Tool ,15235 NE 92nd Street,Redmond,WA,98052,52,32,1,3,10,19,0,0,0,0,0,1
23,578078492,JD Ott Company,2244 6th Ave S,Seattle,WA,98134,109,68,6,17,16,33,1,0,0,0,2,4
24,600025148,Pegasus Northwest ,7404 S 262nd St,Kent,WA,98032,61,42,1,34,5,3,0,0,0,0,1,0
25,600087981,AIM Aerospace (Sumner) ,1516 Fryar Ave,Sumner,WA,98390,343,314,0,237,42,25,9,0,0,0,0,0
26,600105018,Spectralux Corporation,12335 134th Court NE,Redmond,WA,98052,66,29,12,3,14,11,1,0,0,0,0,12
